contractsymbol,lasttradedate,strike,lastprice,bid,ask,change,percentchange,volume,openinterest,impliedvolatility,inthemoney,contractsize,currency,option_type,ticker,expiration,valuation_date,mid,days_to_expiry,ttm,spot,moneyness,spread,spread_over_mid,trade_age_days,log_moneyness,maturity_bucket
GOOG260410C00255000,2026-04-02 19:32:47,255.0,39.35,37.2,41.05,8.099998,25.919994,2.0,52,0.7768577001953125,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,39.125,7,0.019178082191780823,294.4599914550781,0.8659920104592612,3.8499999999999943,0.09840255591054299,1,-0.14387959625987967,weekly
GOOG260410C00260000,2026-04-02 19:46:45,260.0,34.0,33.6,35.75,-1.8800011,-5.239691,5.0,72,0.6584506811523438,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,34.675,7,0.019178082191780823,294.4599914550781,0.8829722459584625,2.1499999999999986,0.062004325883201115,1,-0.12446151040277803,weekly
GOOG260410C00265000,2026-04-02 19:50:38,265.0,29.62,27.65,31.3,-0.36999893,-1.233741,26.0,40,0.6477086010742188,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,29.475,7,0.019178082191780823,294.4599914550781,0.8999524814576637,3.650000000000002,0.12383375742154375,1,-0.1054133154320835,weekly
GOOG260410C00267500,2026-03-31 15:30:18,267.5,15.65,25.1,28.65,0.0,0.0,29.0,62,0.5905802661132813,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,26.875,7,0.019178082191780823,294.4599914550781,0.9084425992072642,3.549999999999997,0.13209302325581385,3,-0.09602357508224457,weekly
GOOG260410C00270000,2026-04-02 19:59:53,270.0,25.0,23.0,26.0,-1.1499996,-4.397704,15.0,179,0.534184345703125,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,24.5,7,0.019178082191780823,294.4599914550781,0.9169327169568648,3.0,0.12244897959183673,1,-0.08672118241993103,weekly
GOOG260410C00272500,2026-04-02 19:48:29,272.5,21.69,20.5,24.25,-1.9899998,-8.403715,24.0,219,0.567265069580078,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,22.375,7,0.019178082191780823,294.4599914550781,0.9254228347064655,3.75,0.16759776536312848,1,-0.077504527315007,weekly
GOOG260410C00275000,2026-04-02 19:57:55,275.0,20.14,19.35,20.9,-1.1599998,-5.446009,49.0,301,0.44360907958984375,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,20.125,7,0.019178082191780823,294.4599914550781,0.9339129524560661,1.5499999999999972,0.07701863354037253,1,-0.06837204375173445,weekly
GOOG260410C00277500,2026-04-02 19:28:45,277.5,17.32,16.55,19.2,-1.6700001,-8.794103,8.0,328,0.4753470434570312,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,17.875,7,0.019178082191780823,294.4599914550781,0.9424030702056667,2.6499999999999986,0.14825174825174817,1,-0.05932220823181651,weekly
GOOG260410C00280000,2026-04-02 19:52:37,280.0,15.5,14.75,16.35,-1.5,-8.823529,135.0,766,0.4018614501953125,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,15.55,7,0.019178082191780823,294.4599914550781,0.9508931879552672,1.6000000000000014,0.10289389067524124,1,-0.0503535382490562,weekly
GOOG260410C00282500,2026-04-02 19:36:55,282.5,12.7,12.3,14.65,-2.13,-14.36278,79.0,363,0.4185849157714844,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,13.475000000000001,7,0.019178082191780823,294.4599914550781,0.9593833057048679,2.3499999999999996,0.17439703153988864,1,-0.04146459083181015,weekly
GOOG260410C00285000,2026-04-02 19:59:15,285.0,11.33,11.1,11.55,-1.0200005,-8.259113,425.0,1253,0.32691102783203124,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,11.325,7,0.019178082191780823,294.4599914550781,0.9678734234544685,0.45000000000000107,0.03973509933774844,1,-0.032653961149655235,weekly
GOOG260410C00287500,2026-04-02 19:57:57,287.5,9.3,9.2,9.6,-1.4499998,-13.48837,551.0,594,0.3156806713867187,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,9.399999999999999,7,0.019178082191780823,294.4599914550781,0.9763635412040691,0.40000000000000036,0.04255319148936175,1,-0.02392028118090061,weekly
GOOG260410C00290000,2026-04-02 19:59:40,290.0,7.58,7.4,7.75,-1.21,-13.765643,1364.0,1558,0.3023751403808594,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,7.575,7,0.019178082191780823,294.4599914550781,0.9848536589536697,0.34999999999999964,0.04620462046204616,1,-0.015262218437786003,weekly
GOOG260410C00292500,2026-04-02 19:58:11,292.5,5.9,5.8,6.1,-1.3499999,-18.620687,1228.0,971,0.291877198486328,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,5.949999999999999,7,0.019178082191780823,294.4599914550781,0.9933437767032702,0.2999999999999998,0.050420168067226864,1,-0.006678474746394621,weekly
